CASENBR,ITERLVL,CDFCLEVN,CDFCLRCV,CDOFCRCV,CDSTATUS,STATRSN1,STATRSN2,STATRSN3,STATRSN4,STATRSN5,CDSUB1PR,CDSUB1SC,sdtdue,sdtstat,sitdtrcv,accept,reject,deny,grant,other,submit,filed,diffreg_filed,diffinst,closed,comptime,timely,diffreg_answer,overdue,untimely,resubmit,noinfres,attachmt,wronglvl,otherrej,cdsub1cb,subcount,rejcount,cldclocount,clgacccount,earliest_sitdtrcv,latest_sdtstat,days_between
1199943,R,BRO,BRO,NER,ACC,,,,,,20,D,2024-07-10,2024-05-16,2024-05-11,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-05-11,2024-05-16,5
1196365,R,OTV,OTV,NER,REJ,DIR,INS,,,,32,A,,2024-05-13,2024-05-10,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,32A,3,3,0,0,2024-04-12,2024-05-13,31
1199396,A,OTV,ASH,BOP,REJ,WRL,OTH,,,,20,D,,2024-05-13,2024-05-10,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,1.0,20D,1,1,0,0,2024-05-10,2024-05-13,3
1199409,R,OTV,OTV,NER,ACC,,,,,,20,D,2024-07-09,2024-05-13,2024-05-10,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-05-10,2024-05-13,3
1199479,R,BRO,BRO,NER,REJ,MSI,OTH,RSR,,,25,Z,,2024-05-13,2024-05-10,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,25Z,1,1,0,0,2024-05-10,2024-05-13,3
1199159,F,OTV,OTV,OTV,REJ,INF,,,,,26,A,,2024-05-09,2024-05-09,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,26A,1,1,0,0,2024-05-09,2024-05-09,0
1199155,F,OTV,OTV,OTV,REJ,INF,,,,,30,Z,,2024-05-09,2024-05-09,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,30Z,1,1,0,0,2024-05-09,2024-05-09,0
1199281,R,RBK,RBK,NER,REJ,UTR,MEM,CPG,RSR,,20,D,,2024-05-10,2024-05-09,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-05-09,2024-05-10,1
1199274,R,CNK,BRO,NER,REJ,LEG,ONE,CPG,RSR,,20,D,,2024-05-10,2024-05-09,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-05-09,2024-05-10,1
1199136,F,OTV,OTV,OTV,ACC,,,,,,25,E,2024-05-28,2024-05-09,2024-05-08,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,25E,1,0,0,1,2024-05-08,2024-05-09,1
1198931,F,BRO,BRO,BRO,ACC,,,,,,26,A,2024-05-28,2024-05-08,2024-05-08,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,26A,1,0,0,1,2024-05-08,2024-05-08,0
1199152,F,OTV,OTV,OTV,ACC,,,,,,34,A,2024-05-28,2024-05-09,2024-05-08,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,34A,1,0,0,1,2024-05-08,2024-05-09,1
1199056,R,RBK,RBK,NER,REJ,DHO,LEG,RSR,,,20,D,,2024-05-09,2024-05-08,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-05-08,2024-05-09,1
1198961,F,BRO,BRO,BRO,REJ,MSI,OTH,,,,21,A,,2024-05-08,2024-05-08,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,21A,1,1,0,0,2024-05-08,2024-05-08,0
1198997,R,BRO,BRO,NER,REJ,DHO,RSR,,,,20,D,,2024-05-08,2024-05-07,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-05-07,2024-05-08,1
1194286,A,OTV,OTV,BOP,REJ,DIR,WRL,INS,OTH,,26,A,,2024-05-08,2024-05-07,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,1.0,26A,3,3,0,0,2024-03-26,2024-05-08,43
1199118,R,OTV,OTV,NER,ACC,,,,,,20,D,2024-07-05,2024-05-09,2024-05-06,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-05-06,2024-05-09,3
1198658,F,BRO,BRO,BRO,ACC,,,,,,26,A,2024-05-26,2024-05-06,2024-05-06,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,26A,1,0,0,1,2024-05-06,2024-05-06,0
1198531,F,BRO,BRO,BRO,ACC,,,,,,26,Z,2024-05-26,2024-05-06,2024-05-06,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,26Z,1,0,0,1,2024-05-06,2024-05-06,0
1198533,F,BRO,BRO,BRO,ACC,,,,,,26,Z,2024-05-26,2024-05-06,2024-05-06,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,26Z,1,0,0,1,2024-05-06,2024-05-06,0
1198529,F,BRO,BRO,BRO,REJ,MLT,MSI,,,,21,A,,2024-05-06,2024-05-06,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,21A,1,1,0,0,2024-05-06,2024-05-06,0
1198861,R,OTV,OTV,NER,ACC,,,,,,20,D,2024-07-05,2024-05-07,2024-05-06,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-05-06,2024-05-07,1
1198831,R,RBK,RBK,NER,REJ,INS,,,,,31,Z,,2024-05-07,2024-05-06,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,31Z,1,1,0,0,2024-05-06,2024-05-07,1
1198644,F,BRO,BRO,BRO,ACC,,,,,,21,A,2024-05-26,2024-05-06,2024-05-06,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,21A,1,0,0,1,2024-05-06,2024-05-06,0
1194836,R,BRO,BRO,NER,REJ,CPG,RSR,,,,20,D,,2024-05-06,2024-05-03,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,3,3,0,0,2024-03-29,2024-05-06,38
1198257,R,BRO,BRO,NER,REJ,LEG,DHR,,,,20,D,,2024-05-03,2024-05-02,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,20D,2,2,0,0,2024-05-01,2024-05-03,2
1179330,A,RBK,RBK,BOP,ACC,,,,,,13,L,2024-06-10,2024-05-07,2024-05-01,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,13L,5,2,2,1,2023-02-20,2024-05-07,442
1198228,R,BRO,BRO,NER,REJ,UTR,MEM,RSR,,,20,D,,2024-05-02,2024-05-01,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-05-01,2024-05-02,1
1197922,F,BRO,BRO,BRO,REJ,INF,,,,,13,Z,,2024-04-30,2024-04-30,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,13Z,1,1,0,0,2024-04-30,2024-04-30,0
1197919,F,BRO,BRO,BRO,REJ,MSI,,,,,26,Z,,2024-04-30,2024-04-30,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,26Z,1,1,0,0,2024-04-30,2024-04-30,0
1197931,F,BRO,BRO,BRO,REJ,OTH,,,,,13,Z,,2024-04-30,2024-04-30,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,13Z,1,1,0,0,2024-04-30,2024-04-30,0
1198102,F,OTV,OTV,OTV,CLO,XPL,,,,,26,A,2024-05-20,2024-05-20,2024-04-30,0,0,0,0,1,1,1,,0.0,1,20.0,1.0,,,,,,,,,26A,1,0,1,0,2024-04-30,2024-05-20,20
1185374,A,RBK,BER,BOP,REJ,RAP,RSA,,,,20,D,,2024-05-02,2024-04-29,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,2,1,1,0,2023-11-17,2024-05-02,167
1197990,R,CNK,CNK,NER,ACC,,,,,,20,E,2024-06-28,2024-04-30,2024-04-29,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20E,1,0,0,1,2024-04-29,2024-04-30,1
1191593,R,CNK,HAZ,NER,ACC,,,,,,20,E,2024-06-28,2024-05-01,2024-04-29,1,0,0,0,0,1,1,1.0,1.0,0,,,,0.0,,,,,,,20E,3,2,0,1,2024-02-28,2024-05-01,63
1197894,F,OTV,OTV,OTV,REJ,OTH,WRL,SEN,,,20,C,,2024-04-30,2024-04-29,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,1.0,20C,1,1,0,0,2024-04-29,2024-04-30,1
1195272,R,OTV,OTV,NER,ACC,,,,,,30,Z,2024-06-28,2024-05-01,2024-04-29,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,30Z,2,0,1,1,2024-04-03,2024-05-01,28
